Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Beauville Z                                                                                                       , 2010         , 170  , Bustique                          , 140         , Wrinton                       , 150
Volnay du Boisdeville                                                                                             , 2009         , 170  , Winningmood van de Arenberg       , 160         , Copacabana II                 , 150
Kardenta van 't Meerhof (aka: Kardenta)                                                                           , 2010         , 170  , Cardento                          , 170         , Majestic                      , 160
Callas                                                                                                            , 2008         , 170  , Casall ASK                        , 170         , Noblesse I                    , 150
"Calloo W (aka: CALLAO W, PIKEUR CALLOO)"                                                                         , 1985         , 170  , Cantus                            , 170         , Tabela                        , 150
"Mumbai van de Moerhoeve (aka: Mumbai, Mumbai 3)"                                                                 , 2012         , 170  , Diamant de Semilly                , 170         , Ischgl de Muze                , 150
Darc De Lux                                                                                                       , 2011         , 170  , Darco                             , 170         , Ordelia                       , 150
Gakhir                                                                                                            , 2011         , 170  , Spartacus TN                      , 160         , Zakhira                       , 150
Chelsea E 2 (aka: FISCHERCHELSEA)                                                                                 , 2008         , 170  , Check In                          , 140         , Argentina E                   , 150
Donatello 141 (aka: Donatello)                                                                                    , 2011         , 170  , Diarado                           , 170         , Luna                          , 150
Hello Jefferson (aka: Jerenmias van het Hulstenhof)                                                               , 2009         , 170  , Cooper vd Heffinck                , 160         , Hovis                         , 150
"BROOKLYN HEIGHTS (aka: JORDEN VAN DE KRUISHOEVE, JORDEN VD KRUISHOEVE)"                                          , 2009         , 170  , Nabab de Reve                     , 170         , Cordula de Laubry             , 150
Cinca 3                                                                                                           , 2009         , 170  , Casall ASK                        , 170         , L-Cinderella                  , 150
Balou du Reventon (aka: Cornet's Balou)                                                                           , 2006         , 170  , Cornet Obolensky                  , 170         , Georgia                       , 140
Acota M                                                                                                           , 2013         , 170  , Toulon                            , 160         , Aquinora                      , 150
"Hortensia v d Leeuwerk (aka: Hortensia, Hortensia van de Leeuwerk)"                                              , 2007         , 170  , Corland                           , 160         , Danora van de Leeuwerk        , 150
Romeo (aka: ROMEO 345)                                                                                            , 1996         , 170  , Ramiro's Bube                     , 170         , Rina                          , 150
Romeo (aka: BLUE SHOT GUAJILLO)                                                                                   , 1994         , 170  , Heartbreaker                      , 160         , Obcession Van Thornesele      , 150
CICCI Bjn                                                                                                         , 2011         , 170  , Ci Ci Senjor                      , 160         , Tittut                        , 150
Visconti Du Telman                                                                                                , 2009         , 170  , Toulon                            , 160         , Rohanne Du Telman             , 150
Messi Van 'T Ruytershof                                                                                           , 2012         , 170  , Plot Blue                         , 170         , Inathina van 't Ruytershof    , 150
Vagabon Des Forets                                                                                                , 2009         , 170  , Corofino I                        , 170         , Pin Up Des Forets             , 150
"Heidelinde (aka: CAVEX TWILIGHT GIRL, CHANTAL LA SILLA)"                                                         , 1989         , 170  , Zuidhorn                          , 110         , Dinette                       , 150
"Candy (aka: CANDY 665, TEXAS GIRL)"                                                                              , 2003         , 170  , Quantum                           , 140         , Ennia                         , 150
"Bb Casablanca (aka: CASABLANCA 80, S-COVER GIRL)"                                                                , 2002         , 170  , Cassini I                         , 150         , Nina III                      , 150
Caleya (aka: CALIDO'S GIRL EST)                                                                                   , 2009         , 170  , Calido I                          , 160         , Lajana                        , 150
Express Trend                                                                                                     , 2010         , 170  , Future Trend                      , 145         , Condios Express               , 150
Kalinka Van De Nachtegaele                                                                                        , 2010         , 170  , Epleaser van 't Heike             , 160         , Fleur De Lys                  , 150
Don Juan van de Donkhoeve (aka: Don Juan)                                                                         , 2009         , 170  , Bamako de Muze                    , 160         , Diva van de Donkhoeve         , 150
Dywizja                                                                                                           , 1996         , 170  , Dinard L                          , 170         , Dorina                        , 150
Igor van de Wittemoere (aka: Igor)                                                                                , 2008         , 170  , Cooper vd Heffinck                , 160         , Dahlia vd Heffinck            , 150
"HH Azur (aka: Azur, Azur Garden's Horses)"                                                                       , 2006         , 170  , Thunder Van De Zuuthoeve          , 150         , Sion van de Zuuthoeve         , 150
Stanley Stone (aka: AZURO)                                                                                        , 2005         , 170  , Karandasj                         , 170         , Summerdive                    , 150
Davidoff (aka: OPTIMAL 6)                                                                                         , 2009         , 170  , Olympic Fire                      , 140         , Prinzessin II                 , 150
Davidoff V. Schl'Hof Ch                                                                                           , 2002         , 170  , Karondo Von Schlosslihof KB       , 170         , Carelia Vom Schlosslihof      , 150
"Davidoff Silver Shadow (aka: ORENDA D'YSIEUX, SILVER SHADOW DE DAVIDOFF)"                                        , 2002         , 170  , Mr Blue                           , 160         , Golden du Marai               , 150
