Horse                                                                                                             , Year of Birth, Level, Sire                              , Sire's level, Dam                           , Dam's level
Quiz (aka: Quiz for Pleasure)                                                                                     , 2004         , 140  , For Pleasure                      , 170         , Etel du Haut Bourg            , 140
"For You (aka: FOR YOU 39, PLEASURE)"                                                                             , 2006         , 140  , For Pleasure                      , 170         , Princessa                     , 120
For Future Man Pleasure                                                                                           , 2005         , 140  , For Pleasure                      , 170         , Provence                      , 110
For Pleasure'S Little Boy                                                                                         , 2004         , 140  , For Pleasure                      , 170         , I-Casanna                     , 140
Quidam De Revel 3 (aka: DUIDAM DE REVEL)                                                                          , 2008         , 140  , Quidam de Revel                   , 170         , Viretto                       , 140
Heartbreaker                                                                                                      , 2012         , 140  , Berlin                            , 140         , Silvana'S Heartbreak          , 140
Heartbreaker                                                                                                      , 2012         , 140  , Zambesi Tn                        , 140         , Du-Minka                      , 130
Selena (aka: HEARTBREAKER JOTER)                                                                                  , 1976         , 140  , Liberto                           , 130         , Nannides                      , 140
Euro Sport Heartbreaker (aka: Heartbeat KB)                                                                       , 2004         , 140  , Heartbreaker                      , 160         , Nufrieda                      , 140
Warren Miss Contendro                                                                                             , 2007         , 140  , Contendro I                       , 120         , Lonicera                      , 140
Contendros Girl                                                                                                   , 2012         , 140  , Contendros                        , 140         , Eurogirl                      , 140
Contendro Sun                                                                                                     , 2010         , 140  , Contendro I                       , 120         , Rubin Lady                    , 140
Contendro World                                                                                                   , 2010         , 140  , Contendro I                       , 120         , Rubina                        , 140
Contendro'S Blitz (aka: CARPICCI)                                                                                 , 2009         , 140  , Contendro I                       , 120         , Kareta                        , 140
Contendro'S Quest                                                                                                 , 2009         , 140  , Contendro I                       , 120         , Revanche                      , 130
Contendro Lady                                                                                                    , 2008         , 140  , Contendro I                       , 120         , Rubin Lady                    , 140
Why Indoctro VDL (aka: WESTMINISTER VDL)                                                                          , 2003         , 140  , C-Indoctro                        , 140         , Elpasja                       , 170
"C-Indoctro (aka: C Indoctro, C-Indoctro I, Indoctro, VDL Indoctro)"                                              , 1990         , 140  , Capitol I                         , 140         , Vanessa VII                   , 140
"Quick-Jump Z Of Kenia (aka: QUICK STAR OF KENIA Z, QUICK- UMP Z OF KENIA)"                                       , 1997         , 140  , Quick Star                        , 170         , Gina                          , 150
Lord Quick Star                                                                                                   , 2010         , 140  , Lord Pezi                         , 140         , R-Queen Elis                  , 140
Quick Star Junior (aka: WINANDA-N)                                                                                , 2003         , 140  , Quick Star                        , 170         , Hinanda                       , 140
Very Quick Star                                                                                                   , 2002         , 140  , Quick Star                        , 170         , Chicke                        , 140
Quick Star 16                                                                                                     , 2001         , 140  , Quinar                            , 140         , Victoria 5                    , 140
Darco (aka: DARCO)                                                                                                , 2003         , 140  , Codex                             , 150         , Opium Van Het Mafiahof        , 140
Unbelievable van het Roelhof (aka: Unbelievable Darco)                                                            , 1997         , 140  , Darco                             , 170         , Quina van Het Roelhof         , 140
Kodaline (aka: DARCO L)                                                                                           , 2008         , 140  , Vittorio                          , 150         , Lapita                        , 140
Good Luck D'Arco Ter Linden                                                                                       , 2006         , 140  , Darco                             , 170         , Tatouage d'Avontuur           , 145
Dree Boekens Darcos Vulkan                                                                                        , 2011         , 140  , Darco                             , 170         , Victoria                      , 140
Don Darco De Bornival Z                                                                                           , 2010         , 140  , Darco                             , 170         , Air Lane Z                    , 140
F Darco Cent Of Diamonds Z                                                                                        , 2010         , 140  , Forever D'arco Ter Linden         , 160         , Cent Of Diamonds Z            , 140
Darco Van Het Neerveld                                                                                            , 2009         , 140  , Dalton Van Het Lindenhof          , 170         , Caloundra St Ghyvan           , 140
Heraut (aka: MR. BLUE K)                                                                                          , 1989         , 140  , Dutchboy                          , 100         , Umara                         , 130
Honour To Mr. Blue                                                                                                , 2012         , 140  , Mr Blue                           , 160         , Praline K                     , 140
Fan Of Mr Blue                                                                                                    , 2010         , 140  , Zirocco Blue VDL                  , 170         , Praline K                     , 140
Mr Blue Boy (aka: MR BLUE BOY D Z)                                                                                , 2009         , 140  , Mr Blue                           , 160         , Takilly                       , 140
Mr Blue C                                                                                                         , 2012         , 140  , Mr Blue                           , 160         , Carina                        , 140
Mr Blue (aka: QUARTOUCHE RAYE)                                                                                    , 2004         , 140  , Mr Blue                           , 160         , Jalapa de Volsin              , 140
Numero Uno (aka: Norton)                                                                                          , 1995         , 140  , Libero H                          , 170         , Jolanda                       , 150
Uranus (aka: NUMERO UNO 5)                                                                                        , 2001         , 140  , Numero Uno                        , 150         , Bonnie                        , 140
Numero Uno X Raphael (aka: NO NAME H)                                                                             , 2011         , 140  , Numero Uno                        , 150         , Glorafina                     , 140
Numero Uno One                                                                                                    , 2003         , 140  , Numero Uno                        , 150         , unknown                       , 150
Numero Uno 7 (aka: IMPOSANT)                                                                                      , 2008         , 140  , Numero Uno                        , 150         , Olympia XV                    , 140
Calgary Tame                                                                                                      , 2012         , 140  , Old Chap Tame                     , 170         , Davendy S                     , 170
Confusion 2                                                                                                       , 2009         , 140  , Corrado I                         , 170         , Una Bella                     , 140
Haley                                                                                                             , 2012         , 140  , Quality Time                      , 160         , Ballyvie                      , 140
Haley D                                                                                                           , 2012         , 140  , Warrant                           , 170         , Porsche                       , 140
Casco 25                                                                                                          , 2014         , 140  , Casall ASK                        , 170         , L-Cocu                        , 140
Caresanio Hb (aka: CASCO HB)                                                                                      , 2009         , 140  , Cassini Boy Junior                , 150         , Salsa L                       , 140
Deja Vu (aka: CASCOS DEJAVU)                                                                                      , 2007         , 140  , Magnus Romeo                      , 160         , Re Capela                     , 140
Casco Van Het Scheefkasteel                                                                                       , 2007         , 140  , Cassini II                        , 140         , Dimball Vh Scheefkasteel      , 130
Casco St Ghyvan Z                                                                                                 , 2007         , 140  , Cassini I                         , 150         , Carma De Bethune              , 140
Cento du Rouet                                                                                                    , 2007         , 140  , Chintan                           , 140         , Balouette                     , 140
Checker (aka: CHECKER 69)                                                                                         , 2012         , 140  , Carrico                           , 160         , Roberta                       , 140
Checker                                                                                                           , 1990         , 140  , Come On                           , 160         , Rugosa                        , 140
Checker In The Sky                                                                                                , 2010         , 140  , Cassiano                          , 140         , Cleopatra                     , 140
Checker Fm                                                                                                        , 2009         , 140  , Chekandino                        , 100         , Leandra                       , 150
Checker 49                                                                                                        , 2009         , 140  , Chin Quin                         , 140         , Acordia                       , 170
Chubby Checker                                                                                                    , 1994         , 140  , Calato                            , 160         , Toronto                       , 170
Checker 27 (aka: CHECKER)                                                                                         , 2005         , 140  , Chico's Boy                       , 140         , Lucille                       , 150
Checker 10 (aka: CHECKER)                                                                                         , 2005         , 140  , Contendro I                       , 120         , Glory Dream                   , 140
Dax Van De Zandloper                                                                                              , 2003         , 140  , Up Chiqui                         , 170         , Anais-Cs                      , 140
Noble Dax                                                                                                         , 2000         , 140  , Country Man                       , 140         , Miss Camila                   , 140
Karolin d'Ax                                                                                                      , 1976         , 140  , Okapi II                          , 140         , Ubaye IV                      , 140
Easy                                                                                                              , 2009         , 140  , Andiamo                           , 150         , Mon Cherie                    , 130
Easy                                                                                                              , 2009         , 140  , Mr Blue                           , 160         , Akoezie                       , 140
Easy                                                                                                              , 2009         , 140  , Ultimo                            , 170         , Zedijtje                      , 130
Easy                                                                                                              , 2009         , 140  , Douglas                           , 150         , Pascalle                      , 120
El Dorado (aka: EASY CASH BOLCHET)                                                                                , 2012         , 140  , unknown                           , 140         , Optima De Sohan               , 140
"Expector (aka: EASY GOING, ZIDANE)"                                                                              , 2004         , 140  , Saros van 't Gestelhof            , 140         , Mac-Beth                      , 140
Third Stream (aka: TAKE IT EASY)                                                                                  , 2003         , 140  , Quite Capitol                     , 140         , Nixe XV                       , 140
Contindra (aka: EASY GIRL)                                                                                        , 2011         , 140  , Conthargos                        , 140         , Nanina                        , 140
Clip P (aka: EASY LOVER)                                                                                          , 2009         , 140  , Clarimo ASK                       , 160         , Vienetta II                   , 120
Easyboy (aka: EASY BOY)                                                                                           , 2009         , 140  , Zambesi Tn                        , 140         , Atlanta                       , 170
Esquinzo Playa (aka: EASY JUMPER)                                                                                 , 2008         , 140  , Embassy III                       , 140         , Ratina K                      , 140
Alfredo (aka: EASY CASH)                                                                                          , 1992         , 140  , Schalkhaar                        , 140         , Lina                          , 140
Hermajesty (aka: EASY TOUCH)                                                                                      , 1989         , 140  , Renville                          , 170         , Urgenta                       , 110
E'Oilily (aka: EASY)                                                                                              , 1993         , 140  , Extra                             , 160         , Raissa                        , 140
Easy In Out DI Villa Francesca                                                                                    , 1999         , 140  , Emilion                           , 140         , Titania Di Villa Emilia       , 140
Easy-Time De Villa D'Arto                                                                                         , 2009         , 140  , Tangelo van de Zuuthoeve          , 150         , Prime-Time                    , 140
Mersey Vdb                                                                                                        , 2012         , 140  , Diamant de Semilly                , 170         , Crown Jewel Vdb Z             , 120
My Prins Van Dorperheide                                                                                          , 2012         , 140  , Zilverstar T                      , 170         , Iselle Van Orshof             , 150
Zaccorado Blue                                                                                                    , 2013         , 140  , Zirocco Blue VDL                  , 170         , Reppers Di Light              , 120
Dzara Dorchival                                                                                                   , 2013         , 140  , Qlassic Bois Margot               , 170         , Rieke 63                      , 140
Glamour Girl (aka: GLAMOUR GIRL 20)                                                                               , 2013         , 140  , Graf Top                          , 140         , Coco                          , 170
Glamour Girl                                                                                                      , 2011         , 140  , Eldorado van de Zeshoek           , 140         , Africa                        , 140
"Whinny 24 (aka: GLAMOUR GIRL, WINZERIN)"                                                                         , 2006         , 140  , Winningmood van de Arenberg       , 160         , An                            , 140
Thunder Girl (aka: GLAMOUR GIRL)                                                                                  , 2009         , 140  , Thunder Van De Zuuthoeve          , 150         , Timberlina                    , 140
Glamour Girl B                                                                                                    , 2011         , 140  , Pino                              , 140         , Roulette                      , 140
Skyfall (aka: SKYFALL 33)                                                                                         , 2010         , 140  , Stolzenberg                       , 140         , Giselle                       , 140
Skyfall (aka: CONNER 51)                                                                                          , 2008         , 140  , Con Air                           , 170         , Montana                       , 140
Landon                                                                                                            , 1987         , 140  , Landgraf I                        , 140         , Retina                        , 170
Ambrosio D'Alcy                                                                                                   , 2010         , 140  , Cabdula du Tillard                , 140         , Sirene Des Bruyeres           , 140
Bakatina De Beaufour                                                                                              , 2011         , 140  , Ogano Sitte                       , 160         , Quinea Dorcel                 , 120
Caipirinha                                                                                                        , 2010         , 140  , Chairman Ls La Silla              , 150         , Mynta                         , 170
Caipirinha (aka: EVI)                                                                                             , 2009         , 140  , Vermont                           , 120         , Catania Z                     , 140
Caipirinha                                                                                                        , 2006         , 140  , Cardento                          , 170         , Tequila                       , 140
Caipirinha                                                                                                        , 2006         , 140  , Radisson                          , 170         , Vanilla Sky                   , 140
Caipirinha                                                                                                        , 2003         , 140  , Contendro I                       , 120         , Rigoletta                     , 140
Caipirinha (aka: CAIPIRINHA 44)                                                                                   , 2001         , 140  , Lordanos                          , 150         , Carisma 18                    , 140
Caipirinha De Reve                                                                                                , 2012         , 140  , Kannan                            , 160         , Nouba Frivol                  , 140
Caipirinha De Hus Z                                                                                               , 2010         , 140  , Conrad de Hus                     , 170         , Ophelia II                    , 140
Caipirinha D'Ecaussines                                                                                           , 2008         , 140  , Malito de Reve                    , 140         , Une Adetto Des Hazalles       , 140
Caipirinha 94 (aka: DIE CAIPIRINHA)                                                                               , 2011         , 140  , Calido I                          , 160         , Thomy                         , 140
Caipirinha VK (aka: Caipirinha)                                                                                   , 2007         , 140  , Tangelo van de Zuuthoeve          , 150         , Whitney                       , 140
Carrickview Gin And Tonic                                                                                         , 2008         , 140  , Silvano                           , 170         , Conlons Diamond               , 140
"Casallino (aka: CASALINO, CASALLINO 4)"                                                                          , 2008         , 140  , Casall ASK                        , 170         , Toffee                        , 130
Casallino 2                                                                                                       , 2008         , 140  , Casall ASK                        , 170         , Cosima                        , 150
Castiel                                                                                                           , 2010         , 140  , Larino                            , 160         , Mishka III                    , 140
Cayetano L (aka: Castiello)                                                                                       , 2001         , 140  , Candillo                          , 140         , Hanna V                       , 140
Castiel Wb                                                                                                        , 2011         , 140  , Cassini I                         , 150         , Ines II                       , 140
Saint Christina                                                                                                   , 2008         , 140  , Stakkato                          , 160         , Sarah                         , 130
Chalou Du Rouet                                                                                                   , 2010         , 140  , Chacco-Blue                       , 160         , Catouet                       , 140
Chalou Du Rouet                                                                                                   , 2007         , 140  , Balou du Rouet                    , 150         , Violette Z                    , 140
"Pbm Chalouba Fbw (aka: CHALOUBA, PBM CHALOUBA)"                                                                  , 2007         , 140  , Chacco-Blue                       , 160         , Zalouba                       , 140
Chalouty Ps                                                                                                       , 2012         , 140  , Chacco-Blue                       , 160         , Barity                        , 140
Conthargo-Blue                                                                                                    , 2012         , 140  , Conthargos                        , 140         , Carusa 4                      , 140
Crack Balou                                                                                                       , 2012         , 140  , Balou du Reventon                 , 170         , Chicca Blue                   , 150
Balou'S Crack                                                                                                     , 2007         , 140  , Balou du Rouet                    , 150         , Clare                         , 140
Julius Van De Kooldries                                                                                           , 2009         , 140  , Clinton                           , 170         , Danser                        , 140
Julius Van De Kapelleboshoeve                                                                                     , 2009         , 140  , Cicero Z                          , 170         , Priska                        , 140
Julius Van De Windeweg                                                                                            , 2009         , 140  , C-Indoctro                        , 140         , Corlanda                      , 150
Julius De La Vallee                                                                                               , 1997         , 140  , Camee d'Or                        , 140         , Valse de Normandie            , 140
Julius De Carmel                                                                                                  , 2009         , 140  , Nabab de Reve                     , 170         , Wish                          , 170
Julius de Brault                                                                                                  , 1975         , 140  , Dare Dare                         , 140         , Belle de Nalliers             , 140
Bulgarie D'Engandou                                                                                               , 2011         , 140  , Vargas De Ste Hermelle            , 140         , Uranie D'Engandou             , 140
Doctrinaire Polana                                                                                                , 2008         , 140  , Wittinger VDL                     , 160         , Anizell VDL                   , 140
Bora Bora De La Roque                                                                                             , 2011         , 140  , Zandor Z                          , 170         , Geromine De Gorgon            , 150
Contago                                                                                                           , 2011         , 140  , unknown                           , 140         , unknown                       , 150
Contago'S Caymann Ch                                                                                              , 2008         , 140  , Contago                           , 160         , Laguna 56                     , 140
Couleur Contago Hd                                                                                                , 1999         , 140  , Contago                           , 160         , Ramira                        , 140
Raak (aka: MONACO)                                                                                                , 1998         , 140  , Democraat                         , 120         , Juhreste                      , 140
Monaco Du Chabli                                                                                                  , 2012         , 140  , Norton d'Eole                     , 160         , Fleur Van Loo                 , 150
Themis De Monaco                                                                                                  , 2007         , 140  , Toulon                            , 160         , Frit des Templiers            , 140
Elysium                                                                                                           , 2007         , 140  , El Bundy I                        , 140         , Donatasha                     , 140
Kilcorig Elysium                                                                                                  , 2015         , 140  , Cornet Obolensky                  , 170         , Kilcorig Belle                , 140
Bacot                                                                                                             , 2011         , 140  , Lavillon                          , 160         , Lorada                        , 140
Gigi-Carmen (aka: GIGI CARMEN)                                                                                    , 2011         , 140  , Bacardi VDL                       , 170         , Carmen                        , 170
Pikeur Callas                                                                                                     , 2010         , 140  , Cardenio                          , 150         , U-Chicimicci                  , 140
"Lord Grannus 4 (aka: CALLAHO LORD GRANNUS, LORD GRANNUS)"                                                        , 2008         , 140  , Lord Pezi                         , 140         , Elkara                        , 140
Etienne XII (aka: CALLA BELLA DONNA)                                                                              , 1990         , 140  , Calypso IV                        , 140         , Kabriane                      , 140
Hamilton (aka: HENRY B)                                                                                           , 2012         , 140  , Conthargos                        , 140         , Diamond B                     , 140
Hamilton                                                                                                          , 2012         , 140  , Tangelo van de Zuuthoeve          , 150         , Bigranta                      , 140
Hamilton                                                                                                          , 2012         , 140  , Cartano                           , 140         , C'Est Sym Bien                , 140
Hamilton                                                                                                          , 2012         , 140  , Glasgow-W VH Merelsnest           , 160         , Zabke                         , 140
Hamilton                                                                                                          , 2012         , 140  , Whitaker                          , 160         , Wolinda                       , 140
Hamilton (aka: HAMILTON S.D.O.)                                                                                   , 2012         , 140  , Sheraton                          , 160         , Destiny                       , 170
Hamilton                                                                                                          , 2008         , 140  , Hermes d'Authieux                 , 140         , Kantate VI                    , 140
Hamilton (aka: DRIEVOET)                                                                                          , 2008         , 140  , Hamlet                            , 140         , Wervelwind                    , 140
Hamilton                                                                                                          , 2007         , 140  , Kashmir van Schuttershof          , 140         , Diana Van Paemel              , 140
Hamilton                                                                                                          , 2007         , 140  , Upsilon van de Heffinck           , 140         , Quini                         , 140
Hamilton                                                                                                          , 2006         , 140  , Cartani                           , 160         , Olivia                        , 140
VDL Hamilton                                                                                                      , 1989         , 140  , Nimmerdor                         , 170         , Worite                        , 140
Heros (aka: HAMILTON T)                                                                                           , 1989         , 140  , Burggraaf                         , 150         , Bonique                       , 140
Django De La Granvil                                                                                              , 2013         , 140  , Nonplusultra                      , 160         , Otaria De La Granvile         , 140
Django Des Baleines                                                                                               , 2013         , 140  , Ugobak des Baleines               , 140         , Image de Pivoine              , 140
Django De Ush                                                                                                     , 2013         , 140  , Conterno Grande                   , 140         , Ushara Ar Park                , 140
Django De Paulanne                                                                                                , 2013         , 140  , Untouchable                       , 170         , Vahika De Paulanne            , 140
Django Du Lys                                                                                                     , 2013         , 140  , Landsturm B                       , 140         , Negatine Du Mesnil            , 140
El Django Camelia Z                                                                                               , 2013         , 140  , Eldorado de Hus Ebel              , 145         , Lownie de Fleuriel            , 140
Django Des Rosiers Z                                                                                              , 2012         , 140  , Darco                             , 170         , Utwo Des Rosiers              , 140
Bonita Vh Keizershof Z (aka: BONITA VAN HET KEIZERSHOF Z)                                                         , 2011         , 140  , Bustique                          , 140         , Benthe                        , 140
Medoc De Toxandria                                                                                                , 2012         , 140  , Der Senaat 111                    , 140         , Koriganne De Toxandria        , 140
Oakingham Lira                                                                                                    , 2013         , 140  , Tornesch                          , 170         , Dame De Pic De Septon         , 140
Millfield Colette                                                                                                 , 2013         , 140  , Cornet Obolensky                  , 170         , Chichi                        , 140
Hulahupe Jr                                                                                                       , 2012         , 140  , VDL Bubalu                        , 170         , Verixt                        , 140
Dialou Blue Ps                                                                                                    , 2013         , 140  , Diarado's Boy                     , 140         , Golousa                       , 140
Cristel VD Mariahoeve Z                                                                                           , 2009         , 140  , Commanchi                         , 160         , Ronada                        , 140
Cristella S                                                                                                       , 2011         , 140  , Cristallo II                      , 150         , Cayenne S                     , 140
Cristelia                                                                                                         , 2007         , 140  , Colman                            , 140         , Silvina                       , 140
Cala Mandia                                                                                                       , 2013         , 140  , Capistrano                        , 135         , Vicky 247                     , 140
Up Too Jacco Blue                                                                                                 , 2011         , 140  , Chacco-Blue                       , 160         , Celestial Up Too              , 140
Dez' Ooktoff                                                                                                      , 2008         , 140  , Colandro                          , 140         , Mazzeltoff Boogie Woogie      , 140
Bentley De Sury                                                                                                   , 2011         , 140  , Sunday de Riverland               , 140         , Quivive De Sury               , 140
"Zuccero (aka: Z AMELUSIENA 64, Z AMELUSINA 64)"                                                                  , 2004         , 140  , Mermus R                          , 140         , Amelusiena                    , 140
"Kalinka van't Zorgvliet (aka: Kalinka, Kalinka van 't Zorgvliet)"                                                , 2010         , 140  , Thunder Van De Zuuthoeve          , 150         , Goldfee van't Zorgvliet       , 140
Romeo (aka: DORSCHMICKEL SECOND LIFE Z)                                                                           , 2011         , 140  , Diarado                           , 170         , Tjara III                     , 140
Romeo (aka: KEC ROMEO)                                                                                            , 2005         , 140  , Aldatus Z                         , 140         , Frank'S Diamond Cavalier      , 140
Romeo                                                                                                             , 1998         , 140  , Cantero                           , 140         , Wondergirl                    , 140
Romeo (aka: ROMEO XVII CH)                                                                                        , 1997         , 140  , Roy d'Artoire                     , 140         , Dollie W                      , 140
"Pauldary's Romeo (aka: PAULDARY'S ROMEO, Romeo Eskebjerg)"                                                       , 1994         , 140  , Racot                             , 140         , Donauchop                     , 140
Romeo (aka: ROMEO 217)                                                                                            , 1988         , 140  , Report I                          , 140         , Waldfee                       , 140
Romeo                                                                                                             , 1979         , 140  , Ramiro                            , 160         , Rapunzel                      , 140
Barachiel D'Ouilly (aka: ROMEO)                                                                                   , 2011         , 140  , Lando                             , 170         , Sothis D'Ouilly               , 140
Romeo de la Loge                                                                                                  , 2005         , 140  , Quick Star                        , 170         , Kanabis de la Loge            , 140
Romeo De La Luth                                                                                                  , 2005         , 140  , Bonhomme II                       , 140         , Luthina                       , 140
Romeo De La Grosserie                                                                                             , 2005         , 140  , Kaolin d'Elle                     , 140         , Kati                          , 140
Chablyne Ter Dieschoot (aka: CHICA TER DIESCHOOT)                                                                 , 2002         , 140  , Silvio I                          , 140         , Sarina                        , 140
Cornada (aka: CHRISPY CHICKEN)                                                                                    , 2010         , 140  , Cornado II                        , 140         , Rubina                        , 140
Outstanding (aka: Chic Cheraa)                                                                                    , 2008         , 140  , Chacco-Blue                       , 160         , Hera L 28872                  , 140
Rf West Indie (aka: CHICE MIETZE S)                                                                               , 2007         , 140  , Contendro I                       , 120         , Heisse Mietze                 , 140
Whats Up (aka: CHICA BOOM)                                                                                        , 2005         , 140  , Chacco-Blue                       , 160         , What A Joy                    , 140
Hirtin (aka: Chica Bay)                                                                                           , 1993         , 140  , Carolus I                         , 140         , Waage I                       , 140
Chaglorius (aka: CHICAGO)                                                                                         , 2011         , 140  , Chacco-Blue                       , 160         , Dolce Vita                    , 140
Elvaro-Star Ps Old                                                                                                , 2014         , 140  , Elvis Ter Putte                   , 150         , Casarena                      , 140
Elvaro (aka: Excalibur Des Terdrix)                                                                               , 2009         , 140  , Calvaro                           , 170         , April Love M                  , 140
Elvaro                                                                                                            , 2009         , 140  , Calvaro                           , 170         , Zadini                        , 140
La Costa                                                                                                          , 2011         , 140  , Gitano Van Berkenbroeck           , 170         , Costa De Baugy Z              , 140
La Costa                                                                                                          , 2010         , 140  , Larimar                           , 140         , Ravenna IV                    , 140
Mimosa (aka: MIMOSA SOBRAL DA COSTA)                                                                              , 2012         , 140  , Cooper vd Heffinck                , 160         , Cascara Dwerse Hagen Z        , 140
"C'est la Maria Callas (aka: C'EST LA, COSTA RICA)"                                                               , 2010         , 140  , Corlensky G                       , 120         , Giselle                       , 140
